last_name,ward,party
Adams,Blendon & Penhill,Conservative
Amaning,Belvedere,Labour
Carew,Bexleyheath,Conservative
Bacon,Sidcup,Conservative
Ball,Erith,Labour
Betts,Falconwood & Welling,Independent
Bishop,Barnehurst,Conservative
Borella,Slade Green & Northend,Labour
Brooks,Falconwood & Welling,Conservative
Christoforides,St Mary's & St James,Conservative
Catterall,East Wickham,Conservative
Dourmoush,Longlands,Conservative
Craske,Blackfen & Lamorbey,Conservative
Curtois,Falconwood & Welling,Conservative
Davey,West Heath,Conservative
Day,Slade Green & Northend,Labour
Di Netimah,Crayford,Independent
Diment,Sidcup,Conservative
O'Neill,Crook Log,Conservative
Smith,St Mary's & St James,Conservative
Fosten,Belvedere,Labour
Gill,Northumberland Heath,Labour
Gower,Bexleyheath,Conservative
Hall,East Wickham,Conservative
Hinkley,Belvedere,Labour
Ward-Wilson,Crook Log,Conservative
Jackson,Barnehurst,Conservative
Leaf,Blendon & Penhill,Conservative
Lucia-Hennis,Crayford,Conservative
Moore,Longlands,Conservative
Munur,Blackfen & Lamorbey,Conservative
Newton,East Wickham,Conservative
O'Hare,Blendon & Penhill,Conservative
Hunt,Blackfen & Lamorbey,Independent
Asunramu,Thamesmead East,Labour
Perfect,Northumberland Heath,Labour
Read,West Heath,Conservative
Reader,West Heath,Conservative
Sandhu,Bexleyheath,Conservative
Seymour,Crayford,Conservative
Slaughter,Sidcup,Conservative
Ferguson,Thamesmead East,Labour
Ogundayo,Thamesmead East,Labour
Taylor C,Crook Log,Conservative
Taylor N,Erith,Labour
