Ref,Date received,Councillor,Service area,Directorate
12026332,03/05/2022,"Borella, Stefano",Environmental Services,Place
12027032,03/05/2022,"Borella, Stefano",Environmental Services,Place
12030164,03/05/2022,"Campbell, Duncan","Highways, Traffic and Infrastructure",Place
12030167,03/05/2022,"Davey, John",Environmental Services,Place
12027132,03/05/2022,"Evennett, David",Housing Services,Place
12024732,03/05/2022,"French, Louie",Housing Services,Place
12033164,03/05/2022,"French, Louie",Planning and Regulation,Place
12019032,03/05/2022,"Gower MBE, Sue",Environmental Services,Place
12034764,03/05/2022,"Hall, Steven",Environmental Services,Place
12079124,03/05/2022,"Hall, Steven","Looked after Children, Permanence and Specialist Services",Childrens Social Care
12032964,03/05/2022,"Hall, Steven",Leisure Parks and Open Spaces,Place
12040764,03/05/2022,"Hall, Steven",Environmental Services,Place
12024532,03/05/2022,"Munur, Cafer",Leisure Parks and Open Spaces,Place
12019732,03/05/2022,"O'Neill OBE, Teresa",Housing Services,Place
12017132,03/05/2022,"O'Neill OBE, Teresa",Leisure Parks and Open Spaces,Place
12022432,03/05/2022,"Oppong-Asare, Abena",Housing Services,Place
12022633,03/05/2022,"Oppong-Asare, Abena",Parking Enforcement (Bexley and Bromley),Place
12033664,03/05/2022,"Oppong-Asare, Abena",Housing Services,Place
12039364,04/05/2022,"Campbell, Duncan","Highways, Traffic and Infrastructure",Place
12036865,04/05/2022,"Evennett, David",Exchequer Services,Finance
12037664,04/05/2022,"Evennett, David",Housing Services,Place
12031164,04/05/2022,"French, Louie",Housing Services,Place
12047566,04/05/2022,"French, Louie",Environmental Services,Place
12030664,04/05/2022,"Hall, Steven",Environmental Services,Place
12114188,04/05/2022,"Holding, Angela",Housing Services,Place
12142081,04/05/2022,"Holding, Angela",Housing Services,Place
12032364,04/05/2022,"Leaf, David",Planning and Regulation,Place
12033165,04/05/2022,"Leaf, David",Environmental Services,Place
12048464,04/05/2022,"Leaf, David",Leisure Parks and Open Spaces,Place
12030165,04/05/2022,"Oppong-Asare, Abena",Environmental Services,Place
12103756,05/05/2022,"Holding, Angela",Planning and Regulation,Place
12084024,05/05/2022,"Leaf, David",Exchequer Services,Finance
12084025,05/05/2022,"Leaf, David",Exchequer Services,Finance
12077724,06/05/2022,"Leaf, David",Exchequer Services,Finance
12080124,06/05/2022,"Leaf, David",Exchequer Services,Finance
12081824,06/05/2022,"Leaf, David",Exchequer Services,Finance
12082824,06/05/2022,"Leaf, David",Exchequer Services,Finance
12082924,06/05/2022,"Leaf, David",Exchequer Services,Finance
12083624,06/05/2022,"Leaf, David",Exchequer Services,Finance
12083824,06/05/2022,"Leaf, David",Exchequer Services,Finance
12109390,06/05/2022,"Leaf, David",Exchequer Services,Finance
12109889,06/05/2022,"Leaf, David",Exchequer Services,Finance
12109991,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110288,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110388,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110488,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110588,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110888,06/05/2022,"Leaf, David",Exchequer Services,Finance
12116188,06/05/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12109688,07/05/2022,"Leaf, David",Exchequer Services,Finance
12109788,07/05/2022,"Leaf, David",Exchequer Services,Finance
12109988,07/05/2022,"Leaf, David",Exchequer Services,Finance
12109989,08/05/2022,"Leaf, David",Exchequer Services,Finance
12092224,09/05/2022,"Evennett, David","School Expansion, Transport and Admissions",Educational Achievement & Inclusion
12097156,09/05/2022,"Evennett, David",Housing Services,Place
12103857,09/05/2022,"Evennett, David","Highways, Traffic and Infrastructure",Place
12116888,09/05/2022,"Evennett, David",HR Operations,Corporate Services
12102356,09/05/2022,"French, Louie",Environmental Services,Place
12149744,09/05/2022,"Gower MBE, Sue",Housing Services,Place
12101258,09/05/2022,"Leaf, David",Exchequer Services,Finance
12109389,09/05/2022,"Leaf, David",Exchequer Services,Finance
12109990,09/05/2022,"Leaf, David",Exchequer Services,Finance
12110788,09/05/2022,"Leaf, David",Exchequer Services,Finance
12110988,09/05/2022,"Leaf, David",Exchequer Services,Finance
12078324,09/05/2022,"Newton, Caroline","Highways, Traffic and Infrastructure",Place
12078024,09/05/2022,"Newton, Caroline","Highways, Traffic and Infrastructure",Place
12116789,09/05/2022,"Newton, Caroline","Highways, Traffic and Infrastructure",Place
12112388,09/05/2022,"Ogundayo, Mabel","Highways, Traffic and Infrastructure",Place
12103056,09/05/2022,"O'Neill OBE, Teresa",Housing Services,Place
12111688,09/05/2022,"Oppong-Asare, Abena",Housing Services,Place
12100057,10/05/2022,"Campbell, Duncan",Parking Enforcement (Bexley and Bromley),Place
12099856,10/05/2022,"Evennett, David",0-25 SEND,Educational Achievement & Inclusion
12101256,10/05/2022,"Evennett, David",Exchequer Services,Finance
12097656,10/05/2022,"French, Louie",Housing Services,Place
12103556,10/05/2022,"French, Louie",Housing Services,Place
12102656,10/05/2022,"Hall, Steven",Environmental Services,Place
12109589,10/05/2022,"Leaf, David",Exchequer Services,Finance
12109590,10/05/2022,"Leaf, David",Exchequer Services,Finance
12098756,10/05/2022,"Leaf, David",Exchequer Services,Finance
12104056,10/05/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12114588,10/05/2022,"Oppong-Asare, Abena","Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
12114888,10/05/2022,"Perfect, Wendy",Environmental Services,Place
12122921,10/05/2022,"Perfect, Wendy",Environmental Services,Place
12126520,10/05/2022,"Slaughter, June",Environmental Services,Place
12099656,10/05/2022,"Taylor, Christopher",Environmental Services,Place
12115088,11/05/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12116889,11/05/2022,"French, Louie",Housing Services,Place
12124021,11/05/2022,"French, Louie",Leisure Parks and Open Spaces,Place
12121520,11/05/2022,"Hall, Steven",Environmental Services,Place
12122420,11/05/2022,"Holding, Angela",Housing Services,Place
12123124,11/05/2022,"Holding, Angela",Environmental Services,Place
12114288,11/05/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12109588,11/05/2022,"Leaf, David",Exchequer Services,Finance
12109888,11/05/2022,"Leaf, David",Exchequer Services,Finance
12110989,11/05/2022,"Leaf, David",Exchequer Services,Finance
12111089,11/05/2022,"Leaf, David",Exchequer Services,Finance
12111888,11/05/2022,"Leaf, David",Exchequer Services,Finance
12111988,11/05/2022,"Leaf, David",Exchequer Services,Finance
12112088,11/05/2022,"Leaf, David",Exchequer Services,Finance
12112089,11/05/2022,"Leaf, David",Exchequer Services,Finance
12114388,11/05/2022,"Leaf, David",Exchequer Services,Finance
12116788,11/05/2022,"Leaf, David",Exchequer Services,Finance
12119288,11/05/2022,"Leaf, David",Exchequer Services,Finance
12121220,11/05/2022,"Leaf, David",Exchequer Services,Finance
12121620,11/05/2022,"Leaf, David",Exchequer Services,Finance
12121720,11/05/2022,"Leaf, David",Exchequer Services,Finance
12119388,11/05/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12123320,11/05/2022,"Leaf, David","School Expansion, Transport and Admissions",Educational Achievement & Inclusion
12115488,11/05/2022,"Oppong-Asare, Abena",Exchequer Services,Finance
12115788,11/05/2022,"Oppong-Asare, Abena",Planning and Regulation,Place
12112090,11/05/2022,"Perfect, Wendy",Leisure Parks and Open Spaces,Place
12123321,11/05/2022,"Perfect, Wendy","Highways, Traffic and Infrastructure",Place
12125520,11/05/2022,"Perfect, Wendy",Environmental Services,Place
12126620,11/05/2022,"Perfect, Wendy",Environmental Services,Place
12119188,11/05/2022,"Taylor, Nicola","Highways, Traffic and Infrastructure",Place
12126720,12/05/2022,"Gower MBE, Sue",Environmental Services,Place
12124020,12/05/2022,"Holding, Angela",Environmental Services,Place
12133848,12/05/2022,"Leaf, David",Exchequer Services,Finance
12134950,12/05/2022,"Munur, Cafer",0-25 SEND,Educational Achievement & Inclusion
12124121,12/05/2022,"O'Neill OBE, Teresa",Housing Services,Place
12122722,12/05/2022,"Perfect, Wendy","Highways, Traffic and Infrastructure",Place
12136748,12/05/2022,"Slaughter, June","Highways, Traffic and Infrastructure",Place
12125123,12/05/2022,"Taylor, Nicola",Economic Skills and Development,Place
12122720,12/05/2022,"Taylor, Nicola",Environmental Services,Place
12134548,13/05/2022,"Holding, Angela",Environmental Services,Place
12140580,13/05/2022,"Taylor, Nicola","Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
12141583,13/05/2022,"Taylor, Nicola","Highways, Traffic and Infrastructure",Place
12132550,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132748,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132749,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132848,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132948,14/05/2022,"Leaf, David",Exchequer Services,Finance
12133248,14/05/2022,"Leaf, David",Exchequer Services,Finance
12133348,14/05/2022,"Leaf, David",Exchequer Services,Finance
12134248,14/05/2022,"Leaf, David",Exchequer Services,Finance
12134348,14/05/2022,"Leaf, David",Exchequer Services,Finance
12134448,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132248,15/05/2022,"Leaf, David",Exchequer Services,Finance
12132548,15/05/2022,"Leaf, David",Exchequer Services,Finance
12132549,15/05/2022,"Leaf, David",Exchequer Services,Finance
12132648,15/05/2022,"Leaf, David",Exchequer Services,Finance
12134048,15/05/2022,"Leaf, David",Exchequer Services,Finance
12139680,16/05/2022,"Amaning, Esther",Leisure Parks and Open Spaces,Place
12134948,16/05/2022,"Bishop, Brian",Leisure Parks and Open Spaces,Place
12140180,16/05/2022,"Bishop, Brian",Environmental Services,Place
12140380,16/05/2022,"Bishop, Brian",Environmental Services,Place
12135448,16/05/2022,"French, Louie",Housing Services,Place
12135948,16/05/2022,"Gower MBE, Sue","Highways, Traffic and Infrastructure",Place
12141581,16/05/2022,"Holding, Angela",Environmental Services,Place
12141880,16/05/2022,"Holding, Angela",Environmental Services,Place
12138048,16/05/2022,"Leaf, David",Exchequer Services,Finance
12139480,16/05/2022,"Leaf, David",Exchequer Services,Finance
12139581,16/05/2022,"Leaf, David",Exchequer Services,Finance
12140682,16/05/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12133548,16/05/2022,"Oppong-Asare, Abena",Planning and Regulation,Place
12141380,16/05/2022,"Read, Philip","Highways, Traffic and Infrastructure",Place
12145844,17/05/2022,"French, Louie",Leisure Parks and Open Spaces,Place
12146644,17/05/2022,"French, Louie",Leisure Parks and Open Spaces,Place
12144644,17/05/2022,"Gower MBE, Sue",Leisure Parks and Open Spaces,Place
12144544,17/05/2022,"Hall, Steven",Leisure Parks and Open Spaces,Place
12145645,17/05/2022,"Jackson, Howard","Highways, Traffic and Infrastructure",Place
12139580,17/05/2022,"Leaf, David",Exchequer Services,Finance
