Ref,Councillor,Date received,Service area,Directorate
14862360,"Adams, Patrick ",2023-11-01,Environmental Services,Place
15478744,"Adams, Patrick ",2024-02-01,Environmental Services,Place
14232700,"Amaning, Esther",2023-07-01,Libraries and Communities,Place
14260789,"Amaning, Esther",2023-07-01,Exchequer Services,Finance
14284344,"Amaning, Esther",2023-07-01,Exchequer Services,Finance
14316832,"Amaning, Esther",2023-08-01,Libraries and Communities,Place
14368140,"Amaning, Esther",2023-08-01,Planning and Regulation,Place
14427444,"Amaning, Esther",2023-08-01,Housing Services,Place
14433008,"Amaning, Esther",2023-08-01,Housing Services,Place
14452660,"Amaning, Esther",2023-08-01,Housing Services,Place
14735936,"Amaning, Esther",2023-10-01,Housing Services,Place
14897816,"Amaning, Esther",2023-11-01,Housing Services,Place
14934804,"Amaning, Esther",2023-12-01,0-25 SEND,Educational Achievement & Inclusion
14971760,"Amaning, Esther",2023-12-01,"Highways, Traffic and Infrastructure",Place
15192248,"Amaning, Esther",2024-02-01,Housing Services,Place
15341228,"Amaning, Esther",2024-03-01,Housing Services,Place
15356884,"Amaning, Esther",2024-03-01,Environmental Services,Place
15399544,"Amaning, Esther",2024-03-01,Exchequer Services,Finance
15462220,"Amaning, Esther",2024-04-01,Housing Services,Place
15539453,"Amaning, Esther",2024-04-01,Exchequer Services,Finance
15555709,"Amaning, Esther",2024-04-01,"Highways, Traffic and Infrastructure",Place
15588316,"Amaning, Esther",2024-04-01,Housing Services,Place
15633956,"Amaning, Esther",2024-05-01,Housing Services,Place
15635956,"Amaning, Esther",2024-05-01,Housing Services,Place
15805040,"Amaning, Esther",2024-06-01,Complaints and FOI Team,Finance
14285344,"Asunramu, Zainab",2023-07-01,Housing Services,Place
14759860,"Asunramu, Zainab",2023-10-01,0-25 SEND,Educational Achievement & Inclusion
15081048,"Asunramu, Zainab",2024-01-01,Housing Services,Place
15081748,"Asunramu, Zainab",2024-01-01,Housing Services,Place
15085248,"Asunramu, Zainab",2024-01-01,Environmental Services,Place
15094712,"Asunramu, Zainab",2024-01-01,Libraries and Communities,Place
15133004,"Asunramu, Zainab",2024-01-01,Housing Services,Place
15401144,"Asunramu, Zainab",2024-03-01,Planning and Regulation,Place
15574188,"Asunramu, Zainab",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15576888,"Asunramu, Zainab",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15761012,"Asunramu, Zainab",2024-06-01,Housing Services,Place
14873724,"Bacon, Cheryl",2023-11-01,Parking Enforcement (Bexley and Bromley),Place
14885252,"Bacon, Cheryl",2023-11-01,Housing Services,Place
15194648,"Bacon, Cheryl",2024-02-01,"Strategic Education Partnership, Improvement & Inclusion",Educational Achievement & Inclusion
14235400,"Ball, Chris",2023-07-01,"Highways, Traffic and Infrastructure",Place
14259589,"Ball, Chris",2023-07-01,Environmental Services,Place
14323696,"Ball, Chris",2023-08-01,Environmental Services,Place
14416680,"Ball, Chris",2023-08-01,Housing Services,Place
14416980,"Ball, Chris",2023-08-01,Environmental Services,Place
14418780,"Ball, Chris",2023-08-01,Housing Services,Place
14419580,"Ball, Chris",2023-08-01,Housing Services,Place
14455960,"Ball, Chris",2023-08-01,Housing Services,Place
14476020,"Ball, Chris",2023-09-01,Strategic Planning,Place
14518300,"Ball, Chris",2023-09-01,Housing Services,Place
14524832,"Ball, Chris",2023-09-01,Housing Services,Place
14554980,"Ball, Chris",2023-09-01,"Highways, Traffic and Infrastructure",Place
14562344,"Ball, Chris",2023-09-01,Housing Services,Place
14570972,"Ball, Chris",2023-09-01,Exchequer Services,Finance
14666805,"Ball, Chris",2023-10-01,Leisure Parks and Open Spaces,Place
14693524,"Ball, Chris",2023-10-01,Planning and Regulation,Place
14714448,"Ball, Chris",2023-10-01,Housing Services,Place
14744232,"Ball, Chris",2023-10-01,"Highways, Traffic and Infrastructure",Place
14763860,"Ball, Chris",2023-10-01,Housing Services,Place
14791648,"Ball, Chris",2023-11-01,Libraries and Communities,Place
14797812,"Ball, Chris",2023-11-01,Environmental Services,Place
14889384,"Ball, Chris",2023-11-01,Planning and Regulation,Place
14889687,"Ball, Chris",2023-11-01,Planning and Regulation,Place
14934204,"Ball, Chris",2023-12-01,Environmental Services,Place
14935704,"Ball, Chris",2023-12-01,Environmental Services,Place
14967560,"Ball, Chris",2023-12-01,Housing Services,Place
14982256,"Ball, Chris",2023-12-01,Housing Services,Place
14991053,"Ball, Chris",2023-12-01,Libraries and Communities,Place
15004548,"Ball, Chris",2023-12-01,Housing Services,Place
15037636,"Ball, Chris",2024-01-01,Environmental Services,Place
15134304,"Ball, Chris",2024-01-01,Housing Services,Place
15146569,"Ball, Chris",2024-01-01,Housing Services,Place
15148868,"Ball, Chris",2024-01-01,Planning and Regulation,Place
15224600,"Ball, Chris",2024-02-01,Leisure Parks and Open Spaces,Place
15315544,"Ball, Chris",2024-02-01,Housing Services,Place
15336032,"Ball, Chris",2024-03-01,Housing Services,Place
15369108,"Ball, Chris",2024-03-01,Housing Services,Place
15370308,"Ball, Chris",2024-03-01,Strategic Planning,Place
15372408,"Ball, Chris",2024-03-01,Housing Services,Place
15377004,"Ball, Chris",2024-03-01,Housing Services,Place
15377104,"Ball, Chris",2024-03-01,Environmental Services,Place
15384560,"Ball, Chris",2024-03-01,Planning and Regulation,Place
15396716,"Ball, Chris",2024-03-01,Environmental Services,Place
15417264,"Ball, Chris",2024-03-01,Exchequer Services,Finance
15417470,"Ball, Chris",2024-03-01,Housing Services,Place
15480244,"Ball, Chris",2024-03-01,Environmental Services,Place
15491600,"Ball, Chris",2024-04-01,"Highways, Traffic and Infrastructure",Place
15509184,"Ball, Chris",2024-04-01,Planning and Regulation,Place
15509385,"Ball, Chris",2024-04-01,Leisure Parks and Open Spaces,Place
15535852,"Ball, Chris",2024-04-01,Exchequer Services,Finance
15536052,"Ball, Chris",2024-04-01,Housing Services,Place
15537752,"Ball, Chris",2024-04-01,Strategic Planning,Place
15539652,"Ball, Chris",2024-04-01,Housing Services,Place
15556608,"Ball, Chris",2024-04-01,Exchequer Services,Finance
15615405,"Ball, Chris",2024-05-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15619432,"Ball, Chris",2024-05-01,Housing Services,Place
15635456,"Ball, Chris",2024-05-01,Environmental Services,Place
15646848,"Ball, Chris",2024-05-01,Housing Services,Place
15649448,"Ball, Chris",2024-05-01,Environmental Services,Place
15665224,"Ball, Chris",2024-05-01,Housing Services,Place
15706648,"Ball, Chris",2024-06-01,Planning and Regulation,Place
15729396,"Ball, Chris",2024-06-01,Housing Services,Place
15739750,"Ball, Chris",2024-06-01,Planning and Regulation,Place
15799084,"Ball, Chris",2024-06-01,Housing Services,Place
14194884,"Betts, Nigel",2023-07-01,Housing Services,Place
14278180,"Betts, Nigel",2023-07-01,Environmental Services,Place
14485052,"Betts, Nigel",2023-09-01,Leisure Parks and Open Spaces,Place
14577204,"Betts, Nigel",2023-09-01,Environmental Services,Place
14628684,"Betts, Nigel",2023-10-01,Environmental Services,Place
14902648,"Betts, Nigel",2023-11-01,"Highways, Traffic and Infrastructure",Place
15417064,"Betts, Nigel",2024-03-01,Housing Services,Place
15555208,"Betts, Nigel",2024-04-01,"Property, Assets and Facilities Management",Finance
14259188,"Bishop, Brian",2023-07-01,Housing Services,Place
14277780,"Bishop, Brian",2023-07-01,Environmental Services,Place
14414784,"Bishop, Brian",2023-08-01,Environmental Services,Place
14438736,"Bishop, Brian",2023-08-01,Leisure Parks and Open Spaces,Place
14463124,"Bishop, Brian",2023-08-01,Planning and Regulation,Place
14467556,"Bishop, Brian",2023-09-01,Planning and Regulation,Place
14628384,"Bishop, Brian",2023-10-01,Planning and Regulation,Place
14646280,"Bishop, Brian",2023-10-01,Housing Services,Place
14823668,"Bishop, Brian",2023-11-01,Integrated Commissioning,Adult Social Care & Health
14848596,"Bishop, Brian",2023-11-01,Housing Services,Place
14865292,"Bishop, Brian",2023-11-01,Housing Services,Place
14948268,"Bishop, Brian",2023-12-01,Housing Services,Place
15032904,"Bishop, Brian",2024-01-01,"Highways, Traffic and Infrastructure",Place
15062192,"Bishop, Brian",2024-01-01,Housing Services,Place
15171424,"Bishop, Brian",2024-01-01,Housing Services,Place
15248180,"Bishop, Brian",2024-02-01,Environmental Services,Place
15316444,"Bishop, Brian",2024-02-01,"Highways, Traffic and Infrastructure",Place
15497564,"Bishop, Brian",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15532556,"Bishop, Brian",2024-04-01,Environmental Services,Place
15536352,"Bishop, Brian",2024-04-01,Leisure Parks and Open Spaces,Place
15579288,"Bishop, Brian",2024-04-01,Housing Services,Place
