Ref,Councillor,Date received,Directorate,Service area
15904229,"Adams, Patrick ",01/07/2024,Place,"Highways, Traffic and Infrastructure"
15909756,"Adams, Patrick ",01/07/2024,Place,"Highways, Traffic and Infrastructure"
16113044,"Adams, Patrick ",01/09/2024,Place,"Highways, Traffic and Infrastructure"
16114444,"Adams, Patrick ",01/09/2024,Place,"Highways, Traffic and Infrastructure"
18142940,"Adams, Patrick ",01/07/2025,Finance,Exchequer Services
15849880,"Amaning, Esther",01/07/2024,Educational Achievement & Inclusion,0-25 SEND
15868921,"Amaning, Esther",01/07/2024,Place,Housing Services
15876544,"Amaning, Esther",01/07/2024,Place,"Highways, Traffic and Infrastructure"
15938096,"Amaning, Esther",01/07/2024,Place,Planning and Regulation
15991432,"Amaning, Esther",01/08/2024,Place,Housing Services
16039837,"Amaning, Esther",01/08/2024,Finance,Exchequer Services
16039936,"Amaning, Esther",01/08/2024,Place,Housing Services
16074876,"Amaning, Esther",01/09/2024,Place,Housing Services
16135036,"Amaning, Esther",01/09/2024,Place,Leisure Parks and Open Spaces
16144632,"Amaning, Esther",01/09/2024,Place,Housing Services
16163892,"Amaning, Esther",01/09/2024,Educational Achievement & Inclusion,0-25 SEND
16204688,"Amaning, Esther",01/09/2024,Place,Libraries and Communities
16239465,"Amaning, Esther",01/10/2024,Place,Libraries and Communities
16252190,"Amaning, Esther",01/10/2024,Place,Housing Services
16362864,"Amaning, Esther",01/10/2024,Educational Achievement & Inclusion,"School Expansion, Transport and Admissions"
16363793,"Amaning, Esther",01/10/2024,Place,Planning and Regulation
16879100,"Amaning, Esther",01/02/2025,Place,Environmental Services
17101856,"Amaning, Esther",01/03/2025,Finance,Exchequer Services
17257984,"Amaning, Esther",01/04/2025,Place,Housing Services
17270840,"Amaning, Esther",01/04/2025,Educational Achievement & Inclusion,Early Intervention & Specialist Teachers
17364872,"Amaning, Esther",01/04/2025,Place,"Highways, Traffic and Infrastructure"
18019040,"Amaning, Esther",01/06/2025,Place,Libraries and Communities
18285772,"Amaning, Esther",01/07/2025,Place,"Highways, Traffic and Infrastructure"
16421712,"Asunramu, Zainab",01/11/2024,Place,Housing Services
16617229,"Asunramu, Zainab",01/12/2024,Place,Housing Services
16684216,"Asunramu, Zainab",01/01/2025,Place,Housing Services
16699700,"Asunramu, Zainab",01/01/2025,Place,Parking Enforcement (Bexley and Bromley)
16926836,"Asunramu, Zainab",01/02/2025,Place,Libraries and Communities
16927636,"Asunramu, Zainab",01/02/2025,Place,Environmental Services
16927836,"Asunramu, Zainab",01/02/2025,Place,Environmental Services
17001616,"Asunramu, Zainab",01/02/2025,Place,Planning and Regulation
17333296,"Asunramu, Zainab",01/04/2025,Educational Achievement & Inclusion,"Strategic Education Partnership, Improvement & Inclusion"
17334398,"Asunramu, Zainab",01/04/2025,Place,"Highways, Traffic and Infrastructure"
